Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content
Puri Aloo,Uttar Pradesh,Veg,Gluten,400,50,18.0,8,6,600,"Vitamin A, C"
Chole Bhature,Uttar Pradesh,Veg,Gluten,600,80,25.0,12,8,700,"Vitamin C, Iron"
Tandoori Chicken,Uttar Pradesh,Non-Veg,None,400,10,25.0,30,2,900,"Vitamin B6, Iron"
Paneer Tikka,Uttar Pradesh,Veg,Dairy,300,12,20.0,15,3,500,"Vitamin B12, Calcium"
Dal Makhani,Uttar Pradesh,Veg,Dairy,350,40,15.0,12,7,650,"Vitamin B9, Iron"
Kachori,Uttar Pradesh,Veg,Gluten,450,60,22.0,10,5,700,"Vitamin B1, B2"
Raita,Uttar Pradesh,Veg,Dairy,150,8,8.0,5,3,250,"Vitamin A, D"
Kofta Curry,Uttar Pradesh,Veg,Dairy,400,30,25.0,12,6,800,"Vitamin B6, Calcium"
Aloo Chaat,Uttar Pradesh,Veg,None,250,35,10.0,5,7,300,"Vitamin C, B6"
Biryani,Uttar Pradesh,Non-Veg,None,500,60,20.0,25,8,900,"Vitamin B6, Iron"
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,45,15.0,10,4,600,"Vitamin A, C"
Pulao,Uttar Pradesh,Veg,None,300,50,12.0,8,3,550,"Vitamin B6, Iron"
Samosa,Uttar Pradesh,Veg,Gluten,400,50,20.0,8,4,700,"Vitamin B1, C"
Rogan Josh,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,5,800,"Vitamin B12, Iron"
Bhindi Masala,Uttar Pradesh,Veg,None,200,20,10.0,5,2,400,"Vitamin C, A"
Palak Paneer,Uttar Pradesh,Veg,Dairy,350,20,22.0,15,4,600,"Vitamin A, C, Iron"
Aloo Paratha,Uttar Pradesh,Veg,Gluten,400,50,15.0,8,6,700,"Vitamin B1, C"
Kheer,Uttar Pradesh,Veg,Dairy,300,40,10.0,15,20,400,"Vitamin B12, Calcium"
Jalebi,Uttar Pradesh,Veg,Gluten,350,70,15.0,20,35,500,Vitamin C
Mathri,Uttar Pradesh,Veg,Gluten,450,60,22.0,10,5,700,"Vitamin B1, Iron"
Baida Roti,Uttar Pradesh,Non-Veg,Gluten,500,55,25.0,20,7,800,"Vitamin B12, Iron"
Petha,Uttar Pradesh,Veg,None,200,50,0.0,5,10,300,Vitamin C
Mutton Korma,Uttar Pradesh,Non-Veg,None,600,10,40.0,35,5,900,"Vitamin B12, Iron"
Tikki Chaat,Uttar Pradesh,Veg,Gluten,350,45,15.0,10,8,600,"Vitamin B6, C"
Chana Masala,Uttar Pradesh,Veg,None,400,45,12.0,15,5,650,"Vitamin B9, Iron"
Gulab Jamun,Uttar Pradesh,Veg,Dairy,300,60,15.0,10,35,400,Vitamin B12
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,60,20.0,15,6,700,"Vitamin B1, C"
Chicken Kebab,Uttar Pradesh,Non-Veg,None,400,5,25.0,30,3,850,"Vitamin B12, Iron"
Rasam,Uttar Pradesh,Veg,None,150,15,5.0,2,3,200,Vitamin C
Dal Tadka,Uttar Pradesh,Veg,None,300,40,10.0,15,4,500,"Vitamin B9, Iron"
Kofta Biryani,Uttar Pradesh,Veg,Dairy,550,50,25.0,15,6,800,"Vitamin B12, Calcium"
Murg Malai Tikka,Uttar Pradesh,Non-Veg,Dairy,450,10,30.0,25,2,900,"Vitamin B12, Iron"
Jeera Rice,Uttar Pradesh,Veg,None,250,55,8.0,4,2,300,Vitamin B6
Dahi Bhalla,Uttar Pradesh,Veg,Dairy,350,50,15.0,12,8,500,"Vitamin B12, Calcium"
Mutton Seekh Kebab,Uttar Pradesh,Non-Veg,None,500,8,30.0,30,3,900,"Vitamin B12, Iron"
Chole,Uttar Pradesh,Veg,None,400,45,10.0,15,5,650,"Vitamin B9, Iron"
Methi Paratha,Uttar Pradesh,Veg,Gluten,350,45,12.0,10,4,600,"Vitamin A, C"
Khasta Kachori,Uttar Pradesh,Veg,Gluten,450,60,22.0,12,5,700,"Vitamin B1, Iron"
Dum Aloo,Uttar Pradesh,Veg,None,300,35,15.0,8,6,500,"Vitamin C, B6"
Shahi Paneer,Uttar Pradesh,Veg,Dairy,400,25,20.0,15,5,700,"Vitamin B12, Calcium"
Samosa Chaat,Uttar Pradesh,Veg,Gluten,400,55,20.0,10,8,650,"Vitamin B1, C"
Chicken Curry,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,6,800,"Vitamin B12, Iron"
Bundi Raita,Uttar Pradesh,Veg,Dairy,200,12,8.0,6,4,300,"Vitamin A, D"
Paneer Butter Masala,Uttar Pradesh,Veg,Dairy,450,20,25.0,15,8,700,"Vitamin B12, Calcium"
Kachori Aloo,Uttar Pradesh,Veg,Gluten,500,60,22.0,10,6,750,"Vitamin B1, Iron"
Bhindi Do Pyaza,Uttar Pradesh,Veg,None,200,20,10.0,5,4,400,"Vitamin C, A"
Litti Chokha,Uttar Pradesh,Veg,Gluten,450,60,15.0,12,5,700,"Vitamin B1, C"
Tandoori Paneer,Uttar Pradesh,Veg,Dairy,300,12,20.0,15,3,500,"Vitamin B12, Calcium"
Mutton Nihari,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,5,900,"Vitamin B12, Iron"
Samosa Pav,Uttar Pradesh,Veg,Gluten,500,60,20.0,10,7,750,"Vitamin B1, C"
Chicken Biryani,Uttar Pradesh,Non-Veg,None,550,65,25.0,30,8,900,"Vitamin B6, Iron"
Vegetable Pulao,Uttar Pradesh,Veg,None,350,55,10.0,8,4,600,"Vitamin B6, C"
Chole Pulao,Uttar Pradesh,Veg,None,400,60,12.0,15,5,650,"Vitamin B9, Iron"
Masoor Dal,Uttar Pradesh,Veg,None,300,40,10.0,15,4,500,"Vitamin B9, Iron"
Bhindi Fry,Uttar Pradesh,Veg,None,200,25,10.0,5,3,400,"Vitamin C, A"
Rawa Kesari,Uttar Pradesh,Veg,None,350,60,12.0,15,25,500,Vitamin B12
Vegetable Korma,Uttar Pradesh,Veg,Dairy,400,30,20.0,15,6,700,"Vitamin B6, Calcium"
Mutton Pulao,Uttar Pradesh,Non-Veg,None,500,60,20.0,25,8,900,"Vitamin B6, Iron"
Tandoori Roti,Uttar Pradesh,Veg,Gluten,250,50,5.0,6,3,400,"Vitamin B1, C"
Paneer Pakora,Uttar Pradesh,Veg,Dairy,350,25,20.0,12,5,600,"Vitamin B12, Calcium"
Aloo Tamatar,Uttar Pradesh,Veg,None,250,30,8.0,5,7,400,"Vitamin C, B6"
Chicken Shawarma,Uttar Pradesh,Non-Veg,None,500,20,30.0,25,4,850,"Vitamin B12, Iron"
Methi Malai Chicken,Uttar Pradesh,Non-Veg,Dairy,450,15,25.0,30,5,900,"Vitamin B12, Iron"
Vegetable Cutlet,Uttar Pradesh,Veg,Gluten,300,35,12.0,8,6,500,"Vitamin C, B6"
Paneer Korma,Uttar Pradesh,Veg,Dairy,400,20,22.0,15,6,700,"Vitamin B12, Calcium"
Roti,Uttar Pradesh,Veg,Gluten,150,30,3.0,4,2,250,Vitamin B1
Chole Tikki,Uttar Pradesh,Veg,Gluten,350,45,15.0,10,7,600,"Vitamin B6, C"
Vegetable Biryani,Uttar Pradesh,Veg,None,400,60,15.0,10,5,650,"Vitamin B6, C"
Palak Chole,Uttar Pradesh,Veg,None,350,35,10.0,15,5,600,"Vitamin A, C"
Murg Pulao,Uttar Pradesh,Non-Veg,None,550,65,25.0,30,8,900,"Vitamin B6, Iron"
Khichdi,Uttar Pradesh,Veg,None,300,50,8.0,10,5,500,"Vitamin B6, Iron"
Kachori Chaat,Uttar Pradesh,Veg,Gluten,450,60,22.0,12,7,700,"Vitamin B1, C"
Methi Chicken,Uttar Pradesh,Non-Veg,None,400,15,30.0,25,5,800,"Vitamin B12, Iron"
Paneer Burji,Uttar Pradesh,Veg,Dairy,350,15,20.0,25,4,600,"Vitamin B12, Calcium"
Vegetable Curry,Uttar Pradesh,Veg,None,300,35,15.0,8,4,500,"Vitamin C, A"
Chicken Saag,Uttar Pradesh,Non-Veg,None,500,10,35.0,30,5,900,"Vitamin B12, Iron"
Gatte Ki Sabzi,Uttar Pradesh,Veg,Gluten,400,30,20.0,12,5,700,"Vitamin B6, C"
Mutton Tikka,Uttar Pradesh,Non-Veg,None,500,12,30.0,35,4,850,"Vitamin B12, Iron"
Vegetable Dosa,Uttar Pradesh,Veg,Gluten,350,50,15.0,10,4,600,"Vitamin B6, C"
Bhindi Raita,Uttar Pradesh,Veg,Dairy,200,15,8.0,6,3,300,"Vitamin A, D"
Aloo Gobi,Uttar Pradesh,Veg,None,250,30,10.0,8,6,450,"Vitamin C, A"
Chicken Pulao,Uttar Pradesh,Non-Veg,None,550,65,25.0,30,7,900,"Vitamin B6, Iron"
Vegetable Soup,Uttar Pradesh,Veg,None,150,20,5.0,3,2,250,"Vitamin A, C"
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,50,10.0,15,25,500,"Vitamin A, B12"
Kashmiri Dum Aloo,Uttar Pradesh,Veg,None,400,40,15.0,8,7,600,"Vitamin C, B6"
Prawn Masala,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,5,850,"Vitamin B12, Iron"
Dahi Puri,Uttar Pradesh,Veg,Dairy,250,30,10.0,6,5,400,"Vitamin A, D"
Aloo Methi,Uttar Pradesh,Veg,None,250,30,8.0,5,6,450,"Vitamin C, A"
Mutton Curry,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,6,900,"Vitamin B12, Iron"
Vegetable Idli,Uttar Pradesh,Veg,None,250,30,5.0,6,3,350,"Vitamin B1, C"
Chana Chaat,Uttar Pradesh,Veg,None,300,40,10.0,12,6,500,"Vitamin B6, C"
Methi Malai Paneer,Uttar Pradesh,Veg,Dairy,400,20,22.0,15,6,700,"Vitamin B12, Calcium"
Rawa Upma,Uttar Pradesh,Veg,Gluten,300,50,10.0,8,4,550,"Vitamin B6, C"
Chicken Pakora,Uttar Pradesh,Non-Veg,None,400,10,25.0,30,3,800,"Vitamin B12, Iron"
Vegetable Biryani,Uttar Pradesh,Veg,None,400,55,12.0,10,5,600,"Vitamin B6, C"
Kachori,Uttar Pradesh,Veg,Gluten,450,60,22.0,10,5,700,"Vitamin B1, Iron"
Mutton Rogan Josh,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,6,900,"Vitamin B12, Iron"
Palak Dal,Uttar Pradesh,Veg,None,300,40,10.0,12,4,500,"Vitamin B9, Iron"
Paneer Tikka Masala,Uttar Pradesh,Veg,Dairy,400,25,20.0,15,7,700,"Vitamin B12, Calcium"
Tandoori Naan,Uttar Pradesh,Veg,Gluten,300,60,5.0,7,4,500,Vitamin B1
Aloo Palak,Uttar Pradesh,Veg,None,250,30,12.0,6,5,450,"Vitamin C, A"
Chicken Tikka Masala,Uttar Pradesh,Non-Veg,Dairy,500,20,30.0,35,6,900,"Vitamin B12, Iron"
Vegetable Pakora,Uttar Pradesh,Veg,Gluten,350,30,20.0,15,5,600,"Vitamin B6, C"
Dal Chawal,Uttar Pradesh,Veg,None,350,55,8.0,15,5,600,"Vitamin B6, Iron"
Vegetable Kofta,Uttar Pradesh,Veg,Dairy,400,30,20.0,15,6,700,"Vitamin B12, Calcium"
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,50,12.0,15,25,500,"Vitamin A, B12"
Paneer Lababdar,Uttar Pradesh,Veg,Dairy,450,20,25.0,15,6,700,"Vitamin B12, Calcium"
Mutton Shami Kebab,Uttar Pradesh,Non-Veg,None,500,12,30.0,25,5,850,"Vitamin B12, Iron"
Aloo Jeera,Uttar Pradesh,Veg,None,250,30,8.0,5,4,450,"Vitamin C, A"
Chicken Vindaloo,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,5,900,"Vitamin B12, Iron"
Rajma,Uttar Pradesh,Veg,None,350,45,10.0,15,5,650,"Vitamin B9, Iron"
Chicken Korma,Uttar Pradesh,Non-Veg,Dairy,500,15,30.0,25,4,850,"Vitamin B12, Iron"
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,60,20.0,15,6,750,"Vitamin B1, C"
Mutton Biryani,Uttar Pradesh,Non-Veg,None,500,60,20.0,25,8,900,"Vitamin B6, Iron"
Chicken Tikka,Uttar Pradesh,Non-Veg,None,400,15,25.0,30,5,800,"Vitamin B12, Iron"
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,50,10.0,8,4,600,"Vitamin A, C"
Vegetable Jalfrezi,Uttar Pradesh,Veg,None,300,35,10.0,10,5,500,"Vitamin A, C"
Dal Tadka,Uttar Pradesh,Veg,None,350,45,10.0,15,4,600,"Vitamin B9, Iron"
Aloo Baingan,Uttar Pradesh,Veg,None,300,35,10.0,8,6,500,"Vitamin C, A"
Rajma Chawal,Uttar Pradesh,Veg,None,350,50,8.0,15,6,600,"Vitamin B6, Iron"
Chicken Curry,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,5,900,"Vitamin B12, Iron"
Chicken Seekh Kebab,Uttar Pradesh,Non-Veg,None,400,20,30.0,25,5,800,"Vitamin B12, Iron"
Mutton Tikka Masala,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,5,850,"Vitamin B12, Iron"
Mui Borok,Tripura,Non-Veg,None,200,15,10.0,25,5,800,"Vitamin A, Vitamin C"
Kachri,Tripura,Veg,None,150,20,5.0,8,6,500,"Vitamin B, Vitamin C"
Bamboo Shoot Curry,Tripura,Veg,None,180,18,8.0,10,4,450,"Vitamin A, Vitamin C"
Mangsor Ruti,Tripura,Non-Veg,None,220,25,12.0,18,7,700,"Vitamin B, Vitamin D"
Aloo-Kumura,Tripura,Veg,None,170,22,7.0,9,5,400,"Vitamin A, Vitamin C"
Chak-So,Tripura,Non-Veg,None,240,28,15.0,20,8,850,"Vitamin B, Vitamin D"
Mithing,Tripura,Veg,Nuts,200,30,8.0,25,10,600,"Vitamin A, Vitamin C"
Kharang,Tripura,Non-Veg,None,260,20,18.0,22,12,900,"Vitamin B, Vitamin C"
Gahat Dal,Tripura,Veg,None,190,25,6.0,14,7,350,"Vitamin B, Vitamin C"
Hawaitho,Tripura,Non-Veg,None,230,24,14.0,20,6,750,"Vitamin B, Vitamin D"
Tarela,Tripura,Veg,None,180,15,10.0,12,5,400,"Vitamin A, Vitamin C"
Kumura Ruti,Tripura,Veg,None,200,20,8.0,15,7,500,"Vitamin B, Vitamin C"
Ting Gaar,Tripura,Non-Veg,None,210,22,12.0,18,6,600,"Vitamin B, Vitamin D"
Panch Phoran Aloo,Tripura,Veg,None,190,18,7.0,14,5,450,"Vitamin A, Vitamin C"
Lungba,Tripura,Non-Veg,None,250,25,16.0,20,8,800,"Vitamin B, Vitamin C"
Bamboo Shoot Pickle,Tripura,Veg,None,180,14,5.0,12,6,400,"Vitamin A, Vitamin C"
Wang Roti,Tripura,Veg,None,210,24,10.0,16,8,500,"Vitamin B, Vitamin C"
Bhapa Ilish,Tripura,Non-Veg,None,240,20,15.0,22,10,700,"Vitamin A, Vitamin D"
Gagri,Tripura,Non-Veg,None,220,18,12.0,20,7,650,"Vitamin B, Vitamin C"
Mula Roti,Tripura,Veg,None,200,23,8.0,12,6,450,"Vitamin A, Vitamin C"
Ilish Bhaja,Tripura,Non-Veg,None,230,25,14.0,18,8,700,"Vitamin B, Vitamin D"
Chingri Masala,Tripura,Non-Veg,None,260,22,16.0,20,10,800,"Vitamin B, Vitamin C"
Aloo Kachri,Tripura,Veg,None,190,20,6.0,12,5,400,"Vitamin A, Vitamin C"
Kumura Bhaji,Tripura,Veg,None,170,18,5.0,10,4,350,"Vitamin B, Vitamin C"
Kharam,Tripura,Non-Veg,None,250,22,14.0,18,7,700,"Vitamin B, Vitamin D"
Kachri Bharta,Tripura,Veg,None,180,22,8.0,14,6,450,"Vitamin A, Vitamin C"
Bhapa Mango,Tripura,Veg,None,160,25,7.0,10,5,400,"Vitamin A, Vitamin C"
Pora,Tripura,Veg,None,180,20,9.0,12,6,450,"Vitamin B, Vitamin C"
Tamuli,Tripura,Veg,None,200,15,8.0,10,5,400,"Vitamin A, Vitamin C"
Poro,Tripura,Veg,None,190,22,7.0,14,7,420,"Vitamin B, Vitamin C"
Moga,Tripura,Non-Veg,None,220,28,16.0,20,8,750,"Vitamin B, Vitamin D"
Kuchara,Tripura,Non-Veg,None,240,30,18.0,22,9,800,"Vitamin B, Vitamin C"
Gagri Curry,Tripura,Non-Veg,None,230,25,14.0,20,7,700,"Vitamin B, Vitamin D"
Fing Roti,Tripura,Veg,None,190,20,7.0,12,6,400,"Vitamin A, Vitamin C"
Chamcham,Tripura,Veg,Dairy,210,25,8.0,20,12,500,"Vitamin A, Vitamin C"
Chokha,Tripura,Veg,None,200,22,9.0,15,7,450,"Vitamin B, Vitamin C"
Pani Puri,Tripura,Veg,Gluten,210,30,10.0,20,12,500,"Vitamin A, Vitamin C"
Thukpa,Tripura,Veg,None,220,28,12.0,18,8,600,"Vitamin B, Vitamin C"
Moukok,Tripura,Non-Veg,None,240,20,15.0,22,9,700,"Vitamin B, Vitamin D"
Dheki,Tripura,Veg,None,180,18,7.0,14,6,400,"Vitamin A, Vitamin C"
Bamboo Shoot Soup,Tripura,Veg,None,170,20,6.0,12,5,350,"Vitamin B, Vitamin C"
Bara,Tripura,Veg,None,190,22,8.0,15,7,400,"Vitamin A, Vitamin C"
Hawaitho Bharta,Tripura,Non-Veg,None,230,24,14.0,20,8,650,"Vitamin B, Vitamin D"
